,Product Name,Posting Date,Upvotes,Source
103,bum bum carnaval extravaganza,N/A,N/A,Sephora Best
104,better than sex mascara,2016-08-19 13:58:38,1,Sephora Best
105,chloé eau de parfum,2012-12-22 02:19:03,3,Sephora Best
106,brow definer,2017-11-09 20:29:02,1,Sephora Best
107,skincare for makeup lovers obento box,N/A,N/A,Sephora Best
108,luminous silk foundation,2013-09-25 11:08:16,2,Sephora Best
109,supersonic hair dryer,N/A,N/A,Sephora Best
110,#fauxfilter foundation,N/A,N/A,Sephora Best
111,sugar jetsetter,N/A,N/A,Sephora Best
112,dipbrow pomade,2014-06-17 09:04:15,11,Sephora Best
113,cleansing & exfoliating wipes,2012-12-14 09:30:49,3,Sephora Best
114,natural radiant longwear foundation,2018-03-20 21:52:16,1,Sephora Best
115,glow brightly - radiance-boosting super set,N/A,N/A,Sephora Best
116,teint idole ultra long wear foundation,2014-03-17 13:18:58,2,Sephora Best
117,the big reveal kit,2014-11-11 01:08:35,1,Sephora Best
118,everlasting liquid lipstick,2016-12-05 05:43:59,3,Sephora Best
119,chance eau tendre eau de toilette,N/A,N/A,Sephora Best
120,blush,2012-03-13 21:54:21,3,Sephora Best
121,jade facial roller,2014-04-23 20:09:20,4,Sephora Best
122,highliner gel eye crayon eyeliner,N/A,N/A,Sephora Best
123,detox dry shampoo,2014-07-26 22:21:51,1,Sephora Best
124,gimme brow+ volumizing eyebrow gel,N/A,N/A,Sephora Best
125,destination sugar,N/A,N/A,Sephora Best
126,the original beautyblender,2017-08-06 16:17:36,2,Sephora Best
127,face mask,2012-01-11 08:51:15,2,Sephora Best
128,lock-it foundation,2012-11-14 17:43:28,5,Sephora Best
129,goodnight glow retin-alt sleeping crème,N/A,N/A,Sephora Best
130,"precisely, my brow pencil ultra fine shape & define",N/A,N/A,Sephora Best
131,overtime mask,2013-09-03 11:47:28,1,Sephora Best
132,they’re real! lengthening & volumizing mascara,N/A,N/A,Sephora Best
133,black opium,2018-03-06 14:33:04,1,Sephora Best
134,sugar lip treatment sunscreen spf 15,2014-05-05 14:50:59,5,Sephora Best
135,sky high-dration,N/A,N/A,Sephora Best
136,soft glam eyeshadow palette,N/A,N/A,Sephora Best
137,perfect hair day dry shampoo,2013-07-23 17:24:41,11,Sephora Best
138,stick foundation,2012-12-13 12:46:20,2,Sephora Best
139,mask frenzy,2018-09-30 05:11:04,1,Sephora Best
140,creaseless under eye concealer,2015-08-08 15:01:30,1,Sephora Best
141,lilly lashes for sephora collection,N/A,N/A,Sephora Best
142,the silk canvas protective primer,2018-04-24 18:31:06,1,Sephora Best
143,secrets of algae kit,N/A,N/A,Sephora Best
144,brighten up & glow,2012-04-15 10:34:32,1,Sephora Best
145,pro filt'r instant retouch primer,2018-01-26 18:39:43,1,Sephora Best
146,tobacco vanille,2018-05-07 19:55:11,1,Sephora Best
147,killawatt freestyle highlighter,2018-08-02 00:05:29,1,Sephora Best
148,good genes holiday kit,N/A,N/A,Sephora Best
149,tinted moisturizer broad spectrum spf 20,2018-10-05 10:43:33,1,Sephora Best
150,moroccanoil treatment,2013-08-23 13:59:59,3,Sephora Best
151,dior airflash spray foundation,2016-09-24 18:22:50,1,Sephora Best
152,brightening heroes,N/A,N/A,Sephora Best
153,roller lash curling & lifting mascara,N/A,N/A,Sephora Best
154,colorful eyeshadow,2018-04-17 23:59:22,1,Sephora Best
155,light blue,2012-02-29 23:05:35,1,Sephora Best
156,obsessions eyeshadow palette,N/A,N/A,Sephora Best
157,mia smart 3-in-1 connected sonic beauty device,N/A,N/A,Sephora Best
158,sleep and glow set,2013-11-21 09:11:21,14,Sephora Best
159,amazonian clay 12-hour full coverage foundation spf 15,2014-08-20 16:14:34,8,Sephora Best
160,bleu de chanel eau de parfum,N/A,N/A,Sephora Best
161,original foundation broad spectrum spf 15,2013-02-17 05:22:30,6,Sephora Best
162,mask heroes face savers,N/A,N/A,Sephora Best
163,match stix matte skinstick,N/A,N/A,Sephora Best
164,goof proof brow pencil easy shape & fill,N/A,N/A,Sephora Best
165,polished perfection straightening brush,N/A,N/A,Sephora Best
166,shimmering skin perfector pressed highlighter,N/A,N/A,Sephora Best
167,glow cycle retin-alt power serum,2018-09-16 20:30:11,1,Sephora Best
168,10 hr wear perfection foundation,2018-03-13 20:34:49,1,Sephora Best
169,#lipstories lipstick,N/A,N/A,Sephora Best
170,naked skin weightless ultra definition liquid foundation,2014-08-05 17:55:11,2,Sephora Best
171,everyday protection essentials,2018-03-28 03:59:11,1,Sephora Best
172,dior lip glow,2012-08-14 21:48:03,3,Sephora Best
173,"ready, set, firm",N/A,N/A,Sephora Best
174,sheer glow foundation,2018-10-13 22:01:24,1,Sephora Best
175,j'adore eau de parfum,N/A,N/A,Sephora Best
176,veil mineral primer,2012-11-29 21:18:43,1,Sephora Best
177,skin summit,2015-06-02 11:19:53,1,Sephora Best
178,24/7 glide-on eye pencil,N/A,N/A,Sephora Best
179,"don’t despair, repair! deep conditioning mask",N/A,N/A,Sephora Best
180,bright delights,N/A,N/A,Sephora Best
181,the porefessional face primer,2013-01-09 22:13:08,1,Sephora Best
182,clay mask,2012-01-26 23:22:55,1,Sephora Best
183,badgal bang! volumizing mascara,N/A,N/A,Sephora Best
184,mask for miles,2013-12-25 00:39:15,1,Sephora Best
185,vanish seamless finish foundation stick,N/A,N/A,Sephora Best
186,ceramidin cream,2014-02-27 18:28:22,1,Sephora Best
187,tinted moisturizer broad spectrum spf 20 - oil free,2014-06-23 14:10:14,11,Sephora Best
188,bloom eau de parfum for her,N/A,N/A,Sephora Best
189,full-on plumping lip polish gloss,N/A,N/A,Sephora Best
190,agave lip balm,2014-02-21 14:43:09,2,Sephora Best
191,grandelash - md lash enhancing serum,2018-10-07 05:51:10,1,Sephora Best
192,scalp revival charcoal + coconut oil micro-exfoliating shampoo,2018-01-07 04:35:46,1,Sephora Best
193,barepro performance wear powder foundation,N/A,N/A,Sephora Best
194,merry merry moisturizers,2013-12-25 20:35:04,1,Sephora Best
195,superhero elastic stretch volumizing mascara,N/A,N/A,Sephora Best
196,lip balm & scrub,2012-02-16 22:20:15,1,Sephora Best
197,photo finish foundation primer,2012-11-29 22:47:50,3,Sephora Best
198,lancôme holiday favorites,N/A,N/A,Sephora Best
199,go-to glow set,2013-09-17 00:29:38,1,Sephora Best
200,soft matte complete concealer,2017-02-07 19:24:17,1,Sephora Best
201,sauvage eau de toilette,N/A,N/A,Sephora Best
202,mattetrance lipstick,N/A,N/A,Sephora Best
203,limited edition watermelon jelly tote set,N/A,N/A,Sephora Best
204,veil translucent setting powder,2016-05-28 19:21:07,1,Sephora Best
205,slim the elegant hair ring,N/A,N/A,Sephora Best
206,kush high volume mascara,N/A,N/A,Sephora Best
207,sauna glow - warming-cooling scrub & mask set,N/A,N/A,Sephora Best
208,hangover replenishing face primer,2016-06-02 13:28:32,1,Sephora Best
209,sauvage eau de parfum,N/A,N/A,Sephora Best
210,rouge gel lip liner,2018-05-12 10:55:01,1,Sephora Best
211,studio skin 15 hour hydrating foundation,2015-10-18 22:07:12,2,Sephora Best
212,blueberry bounce gentle cleanser,2018-02-11 19:39:35,1,Sephora Best
213,peach perfect comfort matte foundation – peaches and cream collection,N/A,N/A,Sephora Best
214,it's your life-changing skincare secret,N/A,N/A,Sephora Best
215,hoola matte bronzer,2014-11-05 11:20:54,1,Sephora Best
216,’replica’ by the fireplace,2017-02-02 17:47:59,13,Sephora Best
217,liquid matte lipstick,2012-12-18 11:01:26,1,Sephora Best
218,amuse bouche lipstick,2017-02-26 21:41:23,5,Sephora Best
219,the tress press digital styling iron,N/A,N/A,Sephora Best
220,mattemoiselle plush matte lipstick,N/A,N/A,Sephora Best
221,charlotte's magic cream,N/A,N/A,Sephora Best
222,lip sleeping mask,2012-05-18 17:39:43,2,Sephora Best
223,illuminate palette,N/A,N/A,Sephora Best
224,rose gold remastered eyeshadow palette,N/A,N/A,Sephora Best
225,superheroes skin transformers,N/A,N/A,Sephora Best
226,rescue party kit,N/A,N/A,Sephora Best
227,match stix trio,N/A,N/A,Sephora Best
228,bright crystal,2014-08-24 13:55:40,9,Sephora Best
229,chocolate soleil matte bronzer,N/A,N/A,Sephora Best
230,natural hydrating heroes,N/A,N/A,Sephora Best
231,smooth finish foundation powder,2014-01-17 02:09:22,4,Sephora Best
232,hair oil,2012-02-19 20:06:35,4,Sephora Best
233,velvet matte lipstick pencil,N/A,N/A,Sephora Best
234,caudalie beauty secrets,N/A,N/A,Sephora Best
235,complexion rescue tinted moisturizer broad spectrum spf 30,2017-12-27 14:10:52,1,Sephora Best
236,waterproof eye makeup remover,2012-11-02 05:19:45,1,Sephora Best
237,power play foundation,2015-06-05 17:25:35,3,Sephora Best
238,squalane + omega repair cream,2015-07-05 13:28:39,1,Sephora Best
239,better than sex waterproof mascara,2018-07-17 10:54:01,1,Sephora Best
240,ultimate anti-aging trio,N/A,N/A,Sephora Best
241,bomb baby mini lip and face set,2018-03-22 12:33:59,1,Sephora Best
242,chance eau fraîche eau de toilette,N/A,N/A,Sephora Best
243,pure radiant tinted moisturizer broad spectrum spf 30,2013-11-08 22:51:35,2,Sephora Best
244,c me sparkle,2014-05-16 11:00:52,1,Sephora Best
245,liquid lipstick,2012-12-18 11:01:26,1,Sephora Best
246,hairdresser’s invisible oil heat & uv protective primer,N/A,N/A,Sephora Best
247,step 1 skin equalizer primer,2015-04-17 09:27:21,1,Sephora Best
248,the superstar set,2018-02-24 23:05:57,3,Sephora Best
249,flawless fusion ultra-longwear foundation,N/A,N/A,Sephora Best
250,house of lashes x sephora collection lash collection,N/A,N/A,Sephora Best
251,water foundation broad spectrum spf 15 - rainforest of the sea collection,N/A,N/A,Sephora Best
252,flash fix kit,2018-01-04 08:33:24,1,Sephora Best
253,ready to roll brush set,N/A,N/A,Sephora Best
254,out of office,2012-10-25 15:40:03,2,Sephora Best
255,hangover 3-in-1 replenishing primer & setting spray,2018-02-28 09:40:33,1,Sephora Best
256,stella,2012-12-22 08:42:26,2,Sephora Best
257,brow gel,2012-02-29 13:40:07,2,Sephora Best
258,truth serum - starlight holiday edition,N/A,N/A,Sephora Best
259,le rouge lipstick,2018-04-20 16:58:20,1,Sephora Best
260,polished perfection mini straightening brush,N/A,N/A,Sephora Best
261,lock-it concealer crème,N/A,N/A,Sephora Best
262,12 days of essential beauty,2018-05-11 21:54:13,1,Sephora Best
263,velvet noir major volume mascara,N/A,N/A,Sephora Best
264,pro foundation #47,2017-11-10 14:26:19,1,Sephora Best
265,all hours longwear natural matte foundation,N/A,N/A,Sephora Best
266,radically radiant,N/A,N/A,Sephora Best
267,play! smarts: skincare by age: 40s,N/A,N/A,Sephora Best
268,touche eclat radiance perfecting pen,N/A,N/A,Sephora Best
269,not a perfume,2012-08-12 23:05:19,5,Sephora Best
270,fineliner ultra-skinny gel eye crayon eyeliner,N/A,N/A,Sephora Best
271,evercalm overnight recovery balm,N/A,N/A,Sephora Best
272,whirl trio interchangeable styling wand,N/A,N/A,Sephora Best
