,List,Price,Product Name,Product Type,Skin Type,Year
63,Sensitive,$15,La Roche-Posay Lipikar Eczema Soothing Relief Cream,BODY MOISTURIZER,Sensitive,2018
64,Sensitive,$6,Vaseline Clinical Care Extremely Dry Skin Rescue Healing Moisture Lotion,BODY MOISTURIZER,Sensitive,2018
65,Sensitive,$8,Coppertone Defend & Care Sensitive Skin Sunscreen SPF 50,SUNSCREEN,Sensitive,2018
66,Body Products,$20,Too Cool for School Coconut Milky Oil Shower,BODY WASH: Moisturizing,none,2018
67,Body Products,$5,Olay Microscrubbing Cleansing Infusion Hydrating Glow Body Wash With Crushed Ginger,BODY WASH: Exfoliating,none,2018
68,Body Products,$8,Seaweed Bath Co. Exfoliating Detox Body Soap,BODY WASH: Bar,none,2018
69,Body Products,$18,Mary Kay Satin Body Revitalizing Shea Scrub,BODY SCRUB,none,2018
70,Body Products,$7,Aveeno Positively Radiant Body Lotion,BODY LOTION: Light,none,2018
71,Body Products,$45,Skinfix Calm & Nourish Body Cream,BODY LOTION: Rich,none,2018
72,Body Products,$17,Dove DermaSeries Dry Skin Relief Expert Repairing Balm,BODY LOTION: Spot Treatment,none,2018
73,Body Products,$50,Ren Clean Skincare Atlantic Kelp and Microalgae Anti-Fatigue Toning Body Oil,BODY LOTION: Oil,none,2018
74,Body Products,$13,Neutrogena Hydro Boost Water Gel Lotion SPF 50,BODY SUNSCREEN,none,2018
75,Body Products,$15,Bare Republic Mineral Vanilla-Coco Sunscreen Spray SPF 50,BODY SUNSCREEN,none,2018
76,Body Products,$48,Coola Organic Sunless Tan Sculpting Mousse,BODY BRONZER: Traditional Self-Tanner,none,2018
77,Body Products,$10,Jergens Natural Glow Daily Moisturizer,BODY BRONZER: Gradual Self-Tanner,none,2018
78,Body Products,$45,Vita Liberata Body Blur HD Skin Finish,BODY BRONZER: Bronzer,none,2018
79,Body Products,$35,Goop G.Nite Bedtime Bath Soak,BATH PRODUCT,none,2018
80,Body Products,$14,Kopari Coconut Oil Deodorant,DEODORANT,none,2018
81,Body Products,$6,Dove Dry Spray Antiperspirant in Rejuvenate,ANTIPERSPIRANT,none,2018
82,Body Products,$5,EOS Shave Cream,HAIR REMOVAL: Shaving Cream,none,2018
83,Body Products,$15,Gillette Venus Swirl,HAIR REMOVAL: Razor,none,2018
84,Body Products,$20,Gillette Venus Bikini Precision,HAIR REMOVAL: Trimmer,none,2018
85,Body Products,$45,Crest 3D White Professional Effects Whitestrips,TEETH WHITENER,none,2018
86,Bases,$13,L’Oréal Paris Infallible Matte-Lock Mattifying Primer,PRIMER,None,2018
87,Bases,$28,First Aid Beauty Hello Fab Coconut Skin Smoothie Priming Moisturizer,PRIMER,None,2018
88,Bases,$44,Read the review +,PRIMER,None,2018
89,Bases,$40,Dermablend Flawless Creator,FOUNDATION: Light Coverage,None,2018
90,Bases,$46,Marc Jacobs Beauty Shameless Youthful-Look 24-H Foundation,FOUNDATION: Medium Coverage,None,2018
91,Bases,$12,Maybelline New York SuperStay 24HR Full Coverage Foundation,FOUNDATION: Full Coverage,None,2018
92,Bases,$42,Estée Lauder Double Wear Stay-in-Place Makeup,FOUNDATION: Long-Wearing,None,2018
93,Bases,$30,BareMinerals Complexion Rescue Tinted Hydrating Gel Cream,FOUNDATION: BB Cream / Tinted Moisturizer,None,2018
94,Bases,$10,Flower Beauty Flower Pots Powder Blush,BLUSH: Powder,None,2018
95,Bases,$42,Wander Beauty On-the-Glow Blush and Illuminator,BLUSH: Cream,None,2018
96,Bases,$10,Maybelline New York FaceStudio Master Chrome Metallic Highlighter,HIGHLIGHTER: Powder,None,2018
97,Bases,$15,L’Oréal Paris True Match Lumi Glow Amour Glow Boosting Drops,HIGHLIGHTER: Liquid,None,2018
98,Bases,$26,Ciaté London Dewy Stix,HIGHLIGHTER: Cream,None,2018
99,Bases,$13,Milani Hypnotic Lights Powder Highlighter,HIGHLIGHTER: Holographic,None,2018
100,Bases,$52,KKW Beauty Powder Contour & Highlight Kit,CONTOUR KIT,None,2018
101,Bases,$38,Laura Mercier Translucent Pressed Setting Powder,POWDER: Pressed,None,2018
102,Bases,$38,BECCA Cosmetics Hydra-Mist Set & Refresh Powder,POWDER: Loose,None,2018
103,Bases,$28,Laura Mercier Flawless Fusion Ultra-Longwear Concealer,CONCEALER: Under-Eyes,None,2018
104,Bases,$30,Nars Soft Matte Complete Concealer,CONCEALER: Blemishes,None,2018
105,Bases,$49,Tan-Luxe The Face,FACIAL SELF-TANNER,None,2018
106,Bases,$30,Too Faced Chocolate Soleil Bronzer,BRONZER: Matte,None,2018
107,Bases,$48,Dior Diorskin Mineral Nude Bronze,BRONZER: Shimmer,None,2018
108,Bases,$32,Urban Decay All Nighter Long Lasting Makeup Setting Spray,SETTING SPRAY,None,2018
