,Product Type,Product Name,Price,Skin Type,List,Year
0,FACE CLEANSER,Skinfix Foaming Oil Cleanser,$22,Sensitive,Sensitive,2018
1,MAKEUP REMOVER,Eau Thermale Avène Intense Eye Make-Up Remover,$20,Sensitive,Sensitive,2018
2,FACE SCRUB,Cetaphil Extra Gentle Daily Scrub,$8,Sensitive,Sensitive,2018
3,BODY MOISTURIZER,CeraVe Moisturizing Cream,$17,Sensitive,Sensitive,2018
4,BODY MOISTURIZER,La Roche-Posay Lipikar Eczema Soothing Relief Cream,$15,Sensitive,Sensitive,2018
5,BODY MOISTURIZER,Vaseline Clinical Care Extremely Dry Skin Rescue Healing Moisture Lotion,$6,Sensitive,Sensitive,2018
6,SUNSCREEN,Coppertone Defend & Care Sensitive Skin Sunscreen SPF 50,$8,Sensitive,Sensitive,2018
