,new_skincare_brand,new_skincare_product,new_generic_brand,new_generic_product,new_skincare_combo,new_generic_combo
118,youth to the people,super glow hydration duo,stila,kiss me stila mini stay all day liquid lipstick set,youth to the people super glow hydration duo,stila kiss me stila mini stay all day liquid lipstick set
119,glow recipe,watermelon pink juice moisturizer mini,sephora collection,sephora pro new nudes palette,glow recipe watermelon pink juice moisturizer mini,sephora collection sephora pro new nudes palette
120,l'occitane,holiday crackers set,sephora collection,give me some glitter set,l'occitane holiday crackers set,sephora collection give me some glitter set
121,peter thomas roth,eyes to die for turbo duo,caudalie,on the glow french faves,peter thomas roth eyes to die for turbo duo,caudalie on the glow french faves
122,welleco,the super elixir refill,hourglass,confession vault lipstick collection,welleco the super elixir refill,hourglass confession vault lipstick collection
123,play! by sephora,play! smarts: skincare by age: 50s+,tata harper,let there be light,play! by sephora play! smarts: skincare by age: 50s+,tata harper let there be light
124,eve lom,decadent cleanser gift set,benefit cosmetics,vanity flare nude eyeshadow palette,eve lom decadent cleanser gift set,benefit cosmetics vanity flare nude eyeshadow palette
125,korres,skin balancing beauties,sephora favorites,perfume sampler,korres skin balancing beauties,sephora favorites perfume sampler
126,peter thomas roth,must haves vault,lilah b.,aglow face mist set,peter thomas roth must haves vault,lilah b. aglow face mist set
127,sephora collection,crazy for clay!,sand & sky,australian pink clay flash perfection exfoliating treatment,sephora collection crazy for clay!,sand & sky australian pink clay flash perfection exfoliating treatment
128,peace out,peace out favorites,winky lux,glimmer balm,peace out peace out favorites,winky lux glimmer balm
129,wander beauty,baggage claim rose gold eye masks,drybar,glitter gang,wander beauty baggage claim rose gold eye masks,drybar glitter gang
130,la mer,treatment lotion hydrating mask,lashfood,better together,la mer treatment lotion hydrating mask,lashfood better together
131,kate somerville,breakout fighters,estée lauder,"protect + hydrate for healthy, youthful looking skin",kate somerville breakout fighters,"estée lauder protect + hydrate for healthy, youthful looking skin"
132,eve lom,iconic cleanser ornament,cover fx,glam & glow liquid lights vault,eve lom iconic cleanser ornament,cover fx glam & glow liquid lights vault
133,welleco,the nourishing protein,dior,miss dior blooming bouquet rollerpearl,welleco the nourishing protein,dior miss dior blooming bouquet rollerpearl
134,fresh,frequent flyer,sephora collection,starlit traincase,fresh frequent flyer,sephora collection starlit traincase
135,philosophy,philosophy's guide to warm and cozy,sephora collection,starlit brush set,philosophy philosophy's guide to warm and cozy,sephora collection starlit brush set
136,saturday skin,saturday squeak,lancôme,rosy skincare collection,saturday skin saturday squeak,lancôme rosy skincare collection
137,four sigmatic,mushroom lemonade mix with charcoal & chaga,sephora collection,wish upon a star advent calendar,four sigmatic mushroom lemonade mix with charcoal & chaga,sephora collection wish upon a star advent calendar
138,biossance,love to travel,tarte,party prep set,biossance love to travel,tarte party prep set
139,eve lom,the award winners,sephora collection,twinkle time sponge,eve lom the award winners,sephora collection twinkle time sponge
140,welleco,the super elixir travel set,atelier cologne,discovery advent calendar,welleco the super elixir travel set,atelier cologne discovery advent calendar
141,dior,capture totale holiday set,sephora collection,fringe false lash set,dior capture totale holiday set,sephora collection fringe false lash set
142,blithe,gold apricot pressed serum,sk-ii,facial treatment essence karan singh limited edition,blithe gold apricot pressed serum,sk-ii facial treatment essence karan singh limited edition
143,peter thomas roth,firmx 360 eye renewal,black up,blush me up palette,peter thomas roth firmx 360 eye renewal,black up blush me up palette
144,clinique,merry moisture pop ornament,alterna haircare,caviar anti-aging replenishing moisture jumbo kit,clinique merry moisture pop ornament,alterna haircare caviar anti-aging replenishing moisture jumbo kit
145,kopari,coconut lip scrubby,sephora collection,tinsel time false lash,kopari coconut lip scrubby,sephora collection tinsel time false lash
146,clarisonic,clear skin stocking stuffer,origins,original skin glow getters,clarisonic clear skin stocking stuffer,origins original skin glow getters
147,four sigmatic,chai latte mushroom mix with turkey tail & reishi,make up for ever,mixing balm,four sigmatic chai latte mushroom mix with turkey tail & reishi,make up for ever mixing balm
148,blithe,inbetween hydro priming cream,sephora collection,crazy for clay!,blithe inbetween hydro priming cream,sephora collection crazy for clay!
149,clarisonic,makeup blending stocking stuffer,buxom,party all night mini lip plumping set,clarisonic makeup blending stocking stuffer,buxom party all night mini lip plumping set
150,welleco,sleep welle fortified calming tea refill,omorovicza,holiday intro set,welleco sleep welle fortified calming tea refill,omorovicza holiday intro set
151,j.one,haart mermaid glow color lip balm,sephora collection,starlit clutch,j.one haart mermaid glow color lip balm,sephora collection starlit clutch
152,welleco,the nourishing protein travel set,murad,bright on time,welleco the nourishing protein travel set,murad bright on time
153,eve lom,radiance transforming mask,lancôme,starlight sparkle dual finish highlighter palette,eve lom radiance transforming mask,lancôme starlight sparkle dual finish highlighter palette
154,blithe,inbetween instant glowing cream,prada,candy sugar pop gift set,blithe inbetween instant glowing cream,prada candy sugar pop gift set
155,welleco,sleep welle fortified calming tea,black up,sublime light powder,welleco sleep welle fortified calming tea,black up sublime light powder
