,Product Name,Posting Date,Upvotes,Source
107,the super elixir travel set,N/A,N/A,Sephora New
108,gold apricot pressed serum,2018-01-16 20:56:03,1,Sephora New
109,makeup blending stocking stuffer,N/A,N/A,Sephora New
110,advanced génifique youth activating serum duo,N/A,N/A,Sephora New
111,rosewater hydration trio,2017-09-12 16:12:47,2,Sephora New
112,inbetween hydro priming cream,N/A,N/A,Sephora New
113,optimizer voyage tri-light rose gold holiday set,N/A,N/A,Sephora New
114,haart mermaid glow color lip balm,N/A,N/A,Sephora New
115,sleep welle fortified calming tea refill,N/A,N/A,Sephora New
116,purifying & comforting duo,N/A,N/A,Sephora New
117,radiance transforming mask,2017-06-08 15:34:33,1,Sephora New
118,inbetween instant glowing cream,N/A,N/A,Sephora New
119,the nourishing protein travel set,N/A,N/A,Sephora New
120,inbetween makeup prep essence,N/A,N/A,Sephora New
121,self love bath + body ritual kit,N/A,N/A,Sephora New
122,lifting & firming duo,2018-08-14 01:25:30,1,Sephora New
123,holiday nice list,2017-01-16 06:53:28,2,Sephora New
124,sleep welle fortified calming tea,N/A,N/A,Sephora New
125,holiday crackers set,N/A,N/A,Sephora New
126,wild rose radiance,2013-02-01 21:48:52,2,Sephora New
127,paint the town set,N/A,N/A,Sephora New
128,sugar sweetcase,N/A,N/A,Sephora New
129,stop being so sensitive,2012-11-06 17:07:29,3,Sephora New
130,play! smarts: skincare by age: 50s+,N/A,N/A,Sephora New
131,mia smart cleanse & uplift holiday gift set,N/A,N/A,Sephora New
132,ceramidin liquid,2014-01-14 19:02:34,1,Sephora New
133,collection for a cause,2013-12-17 14:52:35,-4,Sephora New
134,vitamin c antioxidant glow face mist,2017-12-24 15:45:02,1,Sephora New
135,mermaid staycation,N/A,N/A,Sephora New
136,"repair and renew for radiant, youthful - looking skin",N/A,N/A,Sephora New
137,bubblesheet oxygenating deep cleanse mask - breast cancer awareness edition,N/A,N/A,Sephora New
138,glitter & chill cooling mask,N/A,N/A,Sephora New
139,egf serum,2014-07-01 06:01:00,5,Sephora New
140,the ultimate glow-to's,N/A,N/A,Sephora New
141,nighttime tlc,2015-06-16 13:26:08,1,Sephora New
142,urban skin essentials,2012-12-18 11:01:37,1,Sephora New
143,winter waterdrop kit,2018-10-17 20:01:53,1,Sephora New
144,"maskapalooza! every mask, every concern",N/A,N/A,Sephora New
145,dig deep - the charcoal skin kit,N/A,N/A,Sephora New
146,priming paradise,N/A,N/A,Sephora New
147,the sweetest thing,2013-08-29 18:22:21,2,Sephora New
148,high-potency night-a-mins resurfacing cream with fruit-derived ahas,N/A,N/A,Sephora New
149,good clean fun - powered by plants skin kit,N/A,N/A,Sephora New
150,sugar wonder drops lip primer,N/A,N/A,Sephora New
151,love your face,2012-03-07 17:03:17,1,Sephora New
152,capture dreamskin fresh & perfect cushion broad spectrum spf 50,N/A,N/A,Sephora New
153,tropicalcleanse daily exfoliating cleaner,N/A,N/A,Sephora New
154,supermask - the golden mask,N/A,N/A,Sephora New
155,"revitalize + glow for firmer, youthful-looking skin",N/A,N/A,Sephora New
156,squalane + glycolic renewal facial,2017-11-06 20:32:07,1,Sephora New
157,mask appeal,2013-01-04 08:11:29,2,Sephora New
158,hydration dream team set,N/A,N/A,Sephora New
159,fresh calming mousse moisturizer,2017-03-15 07:35:30,129,Sephora New
160,clean canyon,2013-06-09 13:28:28,3,Sephora New
161,holiday hand cream 5-piece set,N/A,N/A,Sephora New
162,fresh calming toner,2013-06-17 22:26:10,2,Sephora New
163,merry masking,N/A,N/A,Sephora New
164,bamboo me beautiful,2018-06-25 16:15:21,1,Sephora New
165,youth dose eye treatment,N/A,N/A,Sephora New
166,shea butter travel duo,N/A,N/A,Sephora New
167,holiday almond ornament,N/A,N/A,Sephora New
168,ufo,2016-08-04 03:57:33,3,Sephora New
169,the future is female peppermint blotting linens,N/A,N/A,Sephora New
170,spectralite faceware pro,N/A,N/A,Sephora New
171,hydration harbor,2018-10-16 16:01:31,1,Sephora New
172,resurfacing mask limited edition,2016-12-03 23:49:43,2,Sephora New
173,poreless skin holiday gift set: mia smart x kiehl's,N/A,N/A,Sephora New
174,winter skin soothers,2018-10-17 11:39:31,1,Sephora New
175,kate's mini must haves,N/A,N/A,Sephora New
176,soul sisters pure argan hydration duo,N/A,N/A,Sephora New
177,beauty besties,N/A,N/A,Sephora New
178,power-packed essentials,N/A,N/A,Sephora New
179,limited edition dramatically different moisturizing gel,N/A,N/A,Sephora New
180,no filter needed kit,N/A,N/A,Sephora New
